date,T_Occupancy,T_time
30-03-2022,3,9:39:59
30-03-2022,1,9:40:07
30-03-2022,2,9:40:27
30-03-2022,2,9:40:31
30-03-2022,1,9:40:34
30-03-2022,2,9:40:38
30-03-2022,2,9:40:38
30-03-2022,1,9:40:43
30-03-2022,2,9:40:46
30-03-2022,1,9:40:49
30-03-2022,2,9:40:51
30-03-2022,1,9:42:44
30-03-2022,3,9:42:45
30-03-2022,1,9:42:48
30-03-2022,3,9:42:51
30-03-2022,1,9:43:48
30-03-2022,2,9:43:53
30-03-2022,2,9:43:58
30-03-2022,2,9:44:12
30-03-2022,1,9:44:15
30-03-2022,3,9:44:16
30-03-2022,1,9:44:17
30-03-2022,3,9:44:24
30-03-2022,3,9:44:27
30-03-2022,3,9:44:31
30-03-2022,1,9:44:33
30-03-2022,3,9:44:43
30-03-2022,3,9:44:46
30-03-2022,3,9:44:48
30-03-2022,1,9:44:55
30-03-2022,3,9:44:55
30-03-2022,5,9:44:58
30-03-2022,0,9:44:58
30-03-2022,4,9:45:12
30-03-2022,3,9:45:16
30-03-2022,1,9:45:16
30-03-2022,1,9:45:38
30-03-2022,1,9:45:41
30-03-2022,1,9:45:44
30-03-2022,5,9:47:38
30-03-2022,5,9:47:52
30-03-2022,5,9:48:07
30-03-2022,4,9:48:10
30-03-2022,5,9:48:15
30-03-2022,3,9:48:31
30-03-2022,5,9:48:34
30-03-2022,7,9:48:54
30-03-2022,6,9:48:58
30-03-2022,6,9:49:01
30-03-2022,5,9:49:05
30-03-2022,7,9:49:08
30-03-2022,5,9:49:25
30-03-2022,4,9:49:52
30-03-2022,5,9:49:55
30-03-2022,5,9:50:18
30-03-2022,5,9:50:54
30-03-2022,6,9:50:57
30-03-2022,6,9:51:07
30-03-2022,1,9:51:27
30-03-2022,3,9:52:04
30-03-2022,6,9:52:17
30-03-2022,3,9:52:25
30-03-2022,5,9:52:27
30-03-2022,5,9:52:58
30-03-2022,4,9:53:06
30-03-2022,6,10:24:25
30-03-2022,5,10:26:18
30-03-2022,6,10:29:44
30-03-2022,5,10:30:05
30-03-2022,4,10:34:30
30-03-2022,1,10:37:39
30-03-2022,4,10:38:36
30-03-2022,4,10:39:20
30-03-2022,7,10:41:13
30-03-2022,5,10:41:40
30-03-2022,5,10:42:28
30-03-2022,2,10:55:18
30-03-2022,1,10:55:37
30-03-2022,3,10:57:13
30-03-2022,2,10:57:41
30-03-2022,5,11:07:01
30-03-2022,2,11:07:23
30-03-2022,1,11:14:37
30-03-2022,1,11:15:17
30-03-2022,1,11:15:43
30-03-2022,2,11:15:49
30-03-2022,3,11:18:17
30-03-2022,4,11:18:57
30-03-2022,1,11:20:17
30-03-2022,1,11:20:31
30-03-2022,2,11:20:44
30-03-2022,1,11:21:27
30-03-2022,1,11:22:04
30-03-2022,0,11:22:12
30-03-2022,2,11:22:37
30-03-2022,2,11:22:58
30-03-2022,3,11:24:41
30-03-2022,2,11:26:25
30-03-2022,1,11:27:29
30-03-2022,1,11:27:34
30-03-2022,1,11:27:43
30-03-2022,1,11:27:54
30-03-2022,1,11:28:03
30-03-2022,1,11:28:41
30-03-2022,1,11:29:34
30-03-2022,1,11:30:02
30-03-2022,1,11:30:23
30-03-2022,1,11:30:51
30-03-2022,1,11:30:59
30-03-2022,2,11:31:17
30-03-2022,1,11:31:23
30-03-2022,2,11:31:32
30-03-2022,1,11:31:39
30-03-2022,1,11:31:55
30-03-2022,0,11:32:03
30-03-2022,1,11:32:56
30-03-2022,2,11:32:58
30-03-2022,3,11:33:16
30-03-2022,2,11:33:20
30-03-2022,5,11:34:06
30-03-2022,0,11:34:08
30-03-2022,3,11:36:20
30-03-2022,5,11:36:29
30-03-2022,3,11:36:49
30-03-2022,3,11:37:45
30-03-2022,3,11:37:57
30-03-2022,4,11:38:49
30-03-2022,5,11:41:24
30-03-2022,4,11:42:02
30-03-2022,4,11:44:36
30-03-2022,2,11:44:50
30-03-2022,3,11:44:56
30-03-2022,1,11:45:15
30-03-2022,1,11:45:38
30-03-2022,1,11:45:43
30-03-2022,3,11:45:50
30-03-2022,1,11:45:54
30-03-2022,2,11:46:16
30-03-2022,2,11:46:36
30-03-2022,2,11:47:01
30-03-2022,2,11:49:04
30-03-2022,1,11:49:08
30-03-2022,2,11:49:14
30-03-2022,1,11:49:19
30-03-2022,1,11:49:26
30-03-2022,1,11:49:30
30-03-2022,1,11:49:34
30-03-2022,6,11:49:58
30-03-2022,5,11:51:48
30-03-2022,3,11:51:49
30-03-2022,3,11:52:05
30-03-2022,7,11:52:12
30-03-2022,3,11:52:50
30-03-2022,3,11:52:54
30-03-2022,3,11:52:58
30-03-2022,3,11:53:03
30-03-2022,4,11:57:27
30-03-2022,3,11:57:56
30-03-2022,2,11:59:04
30-03-2022,2,11:59:18
30-03-2022,4,12:01:40
30-03-2022,4,12:02:03
30-03-2022,1,12:02:10
30-03-2022,2,12:02:13
30-03-2022,7,12:02:13
30-03-2022,2,12:02:19
30-03-2022,5,12:02:34
30-03-2022,0,12:02:53
30-03-2022,2,12:03:21
30-03-2022,5,12:03:28
30-03-2022,2,12:03:42
30-03-2022,4,12:04:01
30-03-2022,2,12:05:29
30-03-2022,3,12:05:43
30-03-2022,2,12:05:57
30-03-2022,3,12:06:09
30-03-2022,2,12:06:23
30-03-2022,1,12:06:33
30-03-2022,3,12:08:31
30-03-2022,4,12:10:20
30-03-2022,1,12:11:30
30-03-2022,1,12:11:44
30-03-2022,0,12:12:03
30-03-2022,2,12:31:05
30-03-2022,1,12:31:08
30-03-2022,4,12:37:45
30-03-2022,3,12:37:56
30-03-2022,3,12:46:46
30-03-2022,1,12:46:47
30-03-2022,4,13:06:37
30-03-2022,5,13:07:25
30-03-2022,8,13:07:37
30-03-2022,5,13:09:06
30-03-2022,4,13:14:00
30-03-2022,5,13:14:27
30-03-2022,4,13:14:32
30-03-2022,3,13:15:33
30-03-2022,4,14:13:39
30-03-2022,1,14:13:48
30-03-2022,1,14:21:17
30-03-2022,1,14:21:26
30-03-2022,4,14:23:33
30-03-2022,2,14:23:45
30-03-2022,2,14:24:59
30-03-2022,2,14:28:14
30-03-2022,3,14:29:20
30-03-2022,1,14:38:59
30-03-2022,1,14:39:16
30-03-2022,3,14:48:00
30-03-2022,3,14:48:19
30-03-2022,1,14:56:57
30-03-2022,1,14:57:00
